[2026/04/27 16:11:41] 自動運行 | 地圖: 學校 大門 | 自我介紹
[2026/04/27 16:11:42] 點擊 | 地圖: 學校 大門 | 自我介紹2
[2026/04/27 16:11:43] 點擊 | 地圖: 學校 大門 | 系統1
[2026/04/27 16:11:43] 點擊 | 地圖: 學校 大門 | 系統2
[2026/04/27 16:11:44] 點擊 | 地圖: 學校 大門 | 系統3
[2026/04/27 16:11:45] 教學 | 地圖: 學校 大門 | 移動完成
[2026/04/27 16:11:45] 點擊 | 地圖: 學校 大門 | 系統4
[2026/04/27 16:11:48] 教學 | 地圖: 學校 大門 | 互動完成
[2026/04/27 16:11:48] 點擊 | 地圖: 學校 大門 | 警衛1
[2026/04/27 16:11:48] 點擊 | 地圖: 學校 大門 | 警衛2
[2026/04/27 16:11:49] 點擊 | 地圖: 學校 大門 | 警衛3
[2026/04/27 16:11:52] 場所移動 | 地圖: 學校 大門 | 圖書館
[2026/04/27 16:11:52] 進入地圖 | 地圖: 圖書館(new)
[2026/04/27 16:11:52] 自動運行 | 地圖: 圖書館(new) | 找資料1
[2026/04/27 16:11:54] 自動運行 | 地圖: 圖書館(new) | 找資料2
[2026/04/27 16:11:55] 進入第一關 | 地圖: 圖書館(new)
[2026/04/27 16:11:55] 自動運行 | 地圖: 圖書館(new) | 找到資料1
[2026/04/27 16:11:56] 自動運行 | 地圖: 圖書館(new) | 找到資料2
[2026/04/27 16:11:56] 自動運行 | 地圖: 圖書館(new) | 找到資料3
[2026/04/27 16:11:56] 自動運行 | 地圖: 圖書館(new) | 找到資料4
[2026/04/27 16:11:56] 自動運行 | 地圖: 圖書館(new) | 找到資料5
[2026/04/27 16:11:56] 自動運行 | 地圖: 圖書館(new) | 找到資料6
[2026/04/27 16:11:56] 自動運行 | 地圖: 圖書館(new) | 找到資料7
[2026/04/27 16:11:57] 自動運行 | 地圖: 圖書館(new) | 找到資料8
[2026/04/27 16:11:57] 場所移動 | 地圖: 圖書館(new) | 台江內海
